Entity,Code,Year,Cantril ladder score,Population (historical),World regions according to OWID,Life expectancy (years)
Australia,AUS,2011,7.345,22479723,Oceania,82.091
Australia,AUS,2012,7.35,22852597,Oceania,82.297
Australia,AUS,2014,7.284,23595552,Oceania,82.518
Australia,AUS,2015,7.313,23947955,Oceania,82.605
Australia,AUS,2016,7.284,24329914,Oceania,82.801
Australia,AUS,2017,7.272,24730998,Oceania,82.718
Australia,AUS,2018,7.228,25119651,Oceania,83.258
Australia,AUS,2019,7.2228,25482660,Oceania,83.241
Australia,AUS,2020,7.183,25743732,Oceania,83.664
Australia,AUS,2021,7.162,25956358,Oceania,83.564
Australia,AUS,2022,7.095,26200929,Oceania,82.766
Australia,AUS,2023,7.057,26451074,Oceania,83.923
Brazil,BRA,2011,6.697,195284687,South America,74.047
Brazil,BRA,2012,6.849,196876061,South America,74.335
Brazil,BRA,2014,6.983,200085074,South America,74.823
Brazil,BRA,2015,6.952,201675482,South America,75.106
Brazil,BRA,2016,6.635,203218058,South America,75.081
Brazil,BRA,2017,6.419,204703394,South America,75.383
Brazil,BRA,2018,6.3,206107217,South America,75.633
Brazil,BRA,2019,6.3756,207455405,South America,75.809
Brazil,BRA,2020,6.33,208660785,South America,74.506
Brazil,BRA,2021,6.293,209550238,South America,73.038
Brazil,BRA,2022,6.125,210306358,South America,74.872
Brazil,BRA,2023,6.272,211140678,South America,75.848
France,FRA,2011,6.746,63733716,Europe,81.781
France,FRA,2012,6.764,64058423,Europe,81.739
France,FRA,2014,6.575,64692449,Europe,82.437
France,FRA,2015,6.478,64916292,Europe,82.149
France,FRA,2016,6.442,65086802,Europe,82.401
France,FRA,2017,6.489,65284727,Europe,82.439
France,FRA,2018,6.592,65519483,Europe,82.568
France,FRA,2019,6.6638,65729405,Europe,82.73
France,FRA,2020,6.69,65905226,Europe,82.199
France,FRA,2021,6.687,66083491,Europe,82.322
France,FRA,2022,6.661,66277365,Europe,82.475
France,FRA,2023,6.609,66438774,Europe,83.325
Germany,DEU,2011,6.572,80857831,Europe,80.355
Germany,DEU,2012,6.672,80916339,Europe,80.502
Germany,DEU,2014,6.75,81376036,Europe,80.906
Germany,DEU,2015,6.994,82077498,Europe,80.566
Germany,DEU,2016,6.951,82760053,Europe,80.837
Germany,DEU,2017,6.965,83103956,Europe,80.937
Germany,DEU,2018,6.985,83368456,Europe,80.875
Germany,DEU,2019,7.0758,83559127,Europe,81.189
Germany,DEU,2020,7.155,83628661,Europe,81.004
Germany,DEU,2021,7.034,83697031,Europe,81.106
Germany,DEU,2022,6.892,84086176,Europe,80.58
Germany,DEU,2023,6.719,84548184,Europe,81.378
Mexico,MEX,2011,6.74,115243459,North America,73.921
Mexico,MEX,2012,7.088,116818153,North America,74.128
Mexico,MEX,2014,7.187,119784217,North America,74.404
Mexico,MEX,2015,6.778,121072270,North America,74.431
Mexico,MEX,2016,6.578,122251299,North America,74.376
