Entity,Code,Year,Cantril ladder score,Population (historical),World regions according to OWID,Life expectancy (years)
Afghanistan,AFG,2011,4.258,29347668,Asia,61.25
Afghanistan,AFG,2012,4.04,30559988,Asia,61.735
Afghanistan,AFG,2014,3.575,32792472,Asia,62.26
Afghanistan,AFG,2015,3.36,33831716,Asia,62.27
Afghanistan,AFG,2016,3.794,34700565,Asia,62.646
Afghanistan,AFG,2017,3.632,35688889,Asia,62.406
Afghanistan,AFG,2018,3.203,36742997,Asia,62.443
Afghanistan,AFG,2019,2.5669,37856071,Asia,62.941
Afghanistan,AFG,2020,2.523,39068933,Asia,61.454
Afghanistan,AFG,2021,2.404,40000360,Asia,60.417
Afghanistan,AFG,2022,1.859,40578801,Asia,65.617
Afghanistan,AFG,2023,1.721,41454709,Asia,66.035
Albania,ALB,2011,5.134,2911446,Europe,78.303
Albania,ALB,2012,5.55,2909947,Europe,78.084
Albania,ALB,2014,4.959,2903689,Europe,78.029
Albania,ALB,2015,4.655,2898589,Europe,78.358
Albania,ALB,2016,4.644,2897815,Europe,78.643
Albania,ALB,2017,4.586,2898198,Europe,78.9
Albania,ALB,2018,4.719,2894181,Europe,79.238
Albania,ALB,2019,4.8827,2884969,Europe,79.467
Albania,ALB,2020,5.117,2871900,Europe,77.824
Albania,ALB,2021,5.199,2849591,Europe,76.844
Albania,ALB,2022,5.277,2827562,Europe,78.769
Albania,ALB,2023,5.304,2811615,Europe,79.602
Armenia,ARM,2011,4.474,2923214,Asia,73.185
Armenia,ARM,2012,4.316,2922474,Asia,73.44
Armenia,ARM,2014,4.35,2922390,Asia,73.98
Armenia,ARM,2015,4.36,2921124,Asia,74.229
Armenia,ARM,2016,4.376,2918753,Asia,74.494
Armenia,ARM,2017,4.321,2914918,Asia,74.744
Armenia,ARM,2018,4.559,2909917,Asia,74.978
Armenia,ARM,2019,4.6768,2903922,Asia,75.193
Armenia,ARM,2020,5.283,2890849,Asia,68.89
Armenia,ARM,2021,5.399,2870293,Asia,72.552
Armenia,ARM,2022,5.342,2880829,Asia,74.633
Armenia,ARM,2023,5.455,2943346,Asia,75.683
Austria,AUT,2011,7.227,8393226,Europe,80.828
Austria,AUT,2012,7.369,8431540,Europe,80.841
Austria,AUT,2014,7.2,8547760,Europe,81.39
Austria,AUT,2015,7.119,8643981,Europe,81.159
Austria,AUT,2016,7.006,8737874,Europe,81.592
Austria,AUT,2017,7.139,8798734,Europe,81.639
Austria,AUT,2018,7.246,8841608,Europe,81.686
Austria,AUT,2019,7.2942,8880830,Europe,81.907
Austria,AUT,2020,7.268,8921362,Europe,81.804
Austria,AUT,2021,7.163,8967006,Europe,81.82
Austria,AUT,2022,7.097,9064633,Europe,81.296
Austria,AUT,2023,6.905,9130386,Europe,81.956
Azerbaijan,AZE,2011,4.582,9256100,Asia,70.565
Azerbaijan,AZE,2012,4.604,9376131,Asia,71.08
Azerbaijan,AZE,2014,5.212,9631088,Asia,71.93
Azerbaijan,AZE,2015,5.291,9752813,Asia,72.349
Azerbaijan,AZE,2016,5.234,9868395,Asia,72.568
Azerbaijan,AZE,2017,5.201,9968463,Asia,72.694
Azerbaijan,AZE,2018,5.208,10039730,Asia,73.016
Azerbaijan,AZE,2019,5.1648,10110446,Asia,73.29
Azerbaijan,AZE,2020,5.171,10181688,Asia,70.312
Azerbaijan,AZE,2021,5.173,10234332,Asia,70.999
Azerbaijan,AZE,2023,4.893,10318161,Asia,74.429
Bahrain,BHR,2011,5.568,1206693,Asia,79.141
Bahrain,BHR,2012,5.312,1216256,Asia,79.622
Bahrain,BHR,2014,5.96,1312803,Asia,80.214
Bahrain,BHR,2015,6.218,1369607,Asia,80.338
Bahrain,BHR,2016,6.087,1429559,Asia,80.407
Bahrain,BHR,2017,6.105,1481958,Asia,80.407
Bahrain,BHR,2018,6.199,1497582,Asia,80.412
Bahrain,BHR,2019,6.2273,1485632,Asia,80.471
Bahrain,BHR,2020,6.647,1483026,Asia,78.683
Bahrain,BHR,2021,6.647,1501708,Asia,78.083
Bahrain,BHR,2022,6.173,1533408,Asia,80.992
Bahrain,BHR,2023,5.959,1569625,Asia,81.284
Bangladesh,BGD,2011,4.807,153591029,Asia,68.499
Bangladesh,BGD,2012,4.804,155070060,Asia,68.989
Bangladesh,BGD,2014,4.694,157964878,Asia,70.016
Bangladesh,BGD,2015,4.643,159383130,Asia,70.543
Bangladesh,BGD,2016,4.608,160811890,Asia,71.075
Bangladesh,BGD,2017,4.5,162186094,Asia,71.606
Bangladesh,BGD,2018,4.456,163523054,Asia,72.122
Bangladesh,BGD,2019,4.8328,164913011,Asia,72.625
Bangladesh,BGD,2020,5.025,166297978,Asia,71.421
Bangladesh,BGD,2021,5.155,167658798,Asia,71.103
